ENSMUSG00000044952|Kctd21
ENSMUSG00000019861|Gopc
ENSMUSG00000037260|Hgsnat
ENSMUSG00000011158|Brf1
ENSMUSG00000005374|Tbl2
ENSMUSG00000030754|Copb1
ENSMUSG00000035898|Uba6
ENSMUSG00000054277|Arfgap3
ENSMUSG00000031198|Fundc2
ENSMUSG00000025240|Sacm1l
