ENSMUSG00000016018|Skiv2l2
ENSMUSG00000022195|6030458C11Rik
ENSMUSG00000028098|Rnf115
ENSMUSG00000028687|Mutyh
ENSMUSG00000029012|Orc5
ENSMUSG00000041168|Lonp1
ENSMUSG00000087590|Epb41l4aos
ENSMUSG00000056076|Eif3b
ENSMUSG00000039048|Foxred1
ENSMUSG00000026245|Farsb
