ENSMUSG00000006050|Sra1
ENSMUSG00000007892|Rplp1
ENSMUSG00000049517|Rps23
ENSMUSG00000028234|Rps20
ENSMUSG00000027679|Dnajc19
ENSMUSG00000021282|Eif5
ENSMUSG00000037563|Rps16
ENSMUSG00000037361|Sf3b6
ENSMUSG00000002477|Snrpd1
ENSMUSG00000053317|Sec61b
