ENSMUSG00000024974|Smc3
ENSMUSG00000010608|Rbm25
ENSMUSG00000050017|Pitpnb
ENSMUSG00000062075|Lmnb2
ENSMUSG00000015165|Hnrnpl
ENSMUSG00000023286|Ube2j2
ENSMUSG00000040225|Prrc2c
ENSMUSG00000035726|Supt16
ENSMUSG00000031701|Dnaja2
ENSMUSG00000078427|Sarnp
