ENSMUSG00000097047|1110020A21Rik
ENSMUSG00000061482|Hist1h4d
ENSMUSG00000045934|Mtmr11
ENSMUSG00000048581|E130311K13Rik
ENSMUSG00000015305|Sash1
ENSMUSG00000044328|Trp53i13
ENSMUSG00000039157|Fam102a
ENSMUSG00000022142|Nup155
ENSMUSG00000040093|Bmf
ENSMUSG00000116506|AC161165.6
