ENSMUSG00000052698|Tln2
ENSMUSG00000068923|Syt11
ENSMUSG00000031840|Rab3a
ENSMUSG00000029810|Tmem176b
ENSMUSG00000031137|Fgf13
ENSMUSG00000018411|Mapt
ENSMUSG00000073433|Arhgdig
ENSMUSG00000026426|Arl8a
ENSMUSG00000031748|Gnao1
ENSMUSG00000024502|Jakmip2
