ENSMUSG00000074657|Kif5a
ENSMUSG00000037386|Rims2
ENSMUSG00000034007|Scaper
ENSMUSG00000026158|Ogfrl1
ENSMUSG00000025092|Hspa12a
ENSMUSG00000024044|Epb41l3
ENSMUSG00000034040|Galnt17
ENSMUSG00000033949|Trim36
ENSMUSG00000084960|B430010I23Rik
ENSMUSG00000024960|Plcb3
