ENSMUSG00000020840|Blmh
ENSMUSG00000032306|Mpi
ENSMUSG00000029028|Lrrc47
ENSMUSG00000005846|Rsl1d1
ENSMUSG00000037722|Gnpnat1
ENSMUSG00000037058|Paip2
ENSMUSG00000020526|Znhit3
ENSMUSG00000024537|Psmg2
ENSMUSG00000070319|Eif3g
ENSMUSG00000000399|Ndufa9
