ENSMUSG00000052934|Fbxo31
ENSMUSG00000034868|Myl12b
ENSMUSG00000020671|Rab10
ENSMUSG00000027245|Hypk
ENSMUSG00000079215|Zfp664
ENSMUSG00000005469|Prkaca
ENSMUSG00000031633|Slc25a4
ENSMUSG00000029993|Nfu1
ENSMUSG00000003131|Pafah1b2
ENSMUSG00000024501|Dpysl3
