ENSMUSG00000031808|Slc27a1
ENSMUSG00000039239|Tgfb2
ENSMUSG00000028657|Ppt1
ENSMUSG00000052310|Slc39a1
ENSMUSG00000031669|Gins3
ENSMUSG00000021592|Arsk
ENSMUSG00000050107|Haspin
ENSMUSG00000059939|9430015G10Rik
ENSMUSG00000043300|B3galnt1
ENSMUSG00000068962|Zfp114
