ENSMUSG00000031858|Mau2
ENSMUSG00000094483|Purb
ENSMUSG00000052915|Msl1
ENSMUSG00000002413|Braf
ENSMUSG00000056167|Cnot10
ENSMUSG00000020271|Fbxw11
ENSMUSG00000003847|Nfat5
ENSMUSG00000022521|Crebbp
ENSMUSG00000022517|Mgrn1
ENSMUSG00000047843|Bri3
