ENSMUSG00000018427|Ypel2
ENSMUSG00000029482|Aacs
ENSMUSG00000019873|Reep3
ENSMUSG00000022265|Ank
ENSMUSG00000028059|Arhgef2
ENSMUSG00000022770|Dlg1
ENSMUSG00000022358|Fbxo32
ENSMUSG00000062078|Qk
ENSMUSG00000052364|B630019K06Rik
ENSMUSG00000021338|Carmil1
