ENSMUSG00000039994|Timeless
ENSMUSG00000040687|Madd
ENSMUSG00000003863|Ppfia3
ENSMUSG00000020038|Cry1
ENSMUSG00000023236|Scg5
ENSMUSG00000071573|Rnls
ENSMUSG00000046985|Tapt1
ENSMUSG00000040396|Abhd13
ENSMUSG00000022092|Ppp3cc
ENSMUSG00000021192|Golga5
