ENSMUSG00000058569|Tmed9
ENSMUSG00000014867|Surf4
ENSMUSG00000046432|Bex3
ENSMUSG00000029910|Mad2l1
ENSMUSG00000046032|Snx12
ENSMUSG00000022663|Atg3
ENSMUSG00000057561|Eif1a
ENSMUSG00000024646|Cyb5a
ENSMUSG00000073131|Vma21
ENSMUSG00000024594|Prrc1
