ENSMUSG00000024462|Gabbr1
ENSMUSG00000055254|Ntrk2
ENSMUSG00000004558|Ndrg2
ENSMUSG00000058979|Hdhd5
ENSMUSG00000064138|Fam172a
ENSMUSG00000067567|Hdac8
ENSMUSG00000031517|Gpm6a
ENSMUSG00000040557|Mettl27
ENSMUSG00000019883|Echdc1
ENSMUSG00000017453|Pipox
