ENSMUSG00000021311|Mtr
ENSMUSG00000031143|Ccdc22
ENSMUSG00000032560|Dnajc13
ENSMUSG00000028478|Clta
ENSMUSG00000028085|Gatb
ENSMUSG00000022807|Osbpl11
ENSMUSG00000079427|Mthfsl
ENSMUSG00000025521|Tmem192
ENSMUSG00000028062|Lamtor2
ENSMUSG00000047804|Akap10
