ENSMUSG00000027599|Armc1
ENSMUSG00000022359|Wdyhv1
ENSMUSG00000030990|Pgap2
ENSMUSG00000020361|Hspa4
ENSMUSG00000000171|Sdhd
ENSMUSG00000021532|Fastkd3
ENSMUSG00000050323|Ndufaf6
ENSMUSG00000024539|Ptpn2
ENSMUSG00000024947|Men1
ENSMUSG00000024613|Tcof1
