ENSMUSG00000027531|Impa1
ENSMUSG00000029610|Aimp2
ENSMUSG00000037149|Ddx1
ENSMUSG00000027405|Nop56
ENSMUSG00000066979|Bub3
ENSMUSG00000027404|Snrpb
ENSMUSG00000068749|Psma5
ENSMUSG00000028902|Sf3a3
ENSMUSG00000024312|Wdr46
ENSMUSG00000051223|Bzw1
