ENSMUSG00000079641|Rpl39
ENSMUSG00000059734|Ndufs8
ENSMUSG00000030094|Xpc
ENSMUSG00000060126|Tpt1
ENSMUSG00000038178|Slc43a2
ENSMUSG00000068523|Gng5
ENSMUSG00000021067|Sav1
ENSMUSG00000031921|Terf2
ENSMUSG00000078240|Gm3550
ENSMUSG00000078193|Gm2000
