ENSMUSG00000034263|Ints14
ENSMUSG00000031601|Cnot7
ENSMUSG00000047710|Champ1
ENSMUSG00000037572|Wdhd1
ENSMUSG00000069495|Epc2
ENSMUSG00000044134|Fam109a
ENSMUSG00000035623|Rsf1
ENSMUSG00000019777|Hdac2
ENSMUSG00000045251|Zfp688
ENSMUSG00000057335|Cep170
