ENSMUSG00000040435|Ppp1r15a
ENSMUSG00000019467|Arhgef25
ENSMUSG00000025147|Mob2
ENSMUSG00000031511|Arhgef7
ENSMUSG00000052997|Uba2
ENSMUSG00000033909|Usp36
ENSMUSG00000025234|Arih1
ENSMUSG00000030409|Dmpk
ENSMUSG00000090841|Myl6
ENSMUSG00000025644|Gm7628
