ENSMUSG00000001089|Luzp1
ENSMUSG00000024969|Mark2
ENSMUSG00000016344|Ppdpf
ENSMUSG00000057440|Mpp7
ENSMUSG00000035325|Sec31a
ENSMUSG00000040128|Pnrc1
ENSMUSG00000061244|Exoc5
ENSMUSG00000002963|Pnkp
ENSMUSG00000003228|Grk5
ENSMUSG00000040423|Rc3h1
