ENSMUSG00000031387|Renbp
ENSMUSG00000028378|Ptgr1
ENSMUSG00000024725|Ostf1
ENSMUSG00000030894|Tpp1
ENSMUSG00000052248|Zeb2os
ENSMUSG00000022451|Twf1
ENSMUSG00000042684|Npl
ENSMUSG00000016534|Lamp2
ENSMUSG00000030272|Camk1
ENSMUSG00000039191|Rbpj
