ENSMUSG00000036934|4921524J17Rik
ENSMUSG00000059772|Slx1b
ENSMUSG00000029458|Brap
ENSMUSG00000025332|Kdm5c
ENSMUSG00000027782|Kpna4
ENSMUSG00000020718|Polg2
ENSMUSG00000025531|Chm
ENSMUSG00000032298|Neil1
ENSMUSG00000027889|Ampd2
ENSMUSG00000002778|Kdelr1
