ENSMUSG00000020290|Xpo1
ENSMUSG00000037286|Stag1
ENSMUSG00000022528|Hes1
ENSMUSG00000048106|4632415L05Rik
ENSMUSG00000020235|Fzr1
ENSMUSG00000049932|H2afx
ENSMUSG00000026605|Cenpf
ENSMUSG00000053477|Tcf4
ENSMUSG00000024660|Incenp
ENSMUSG00000037894|H2afz
