ENSMUSG00000025747|Tyms
ENSMUSG00000027379|Bub1
ENSMUSG00000028896|Rcc1
ENSMUSG00000025616|Usp16
ENSMUSG00000025157|Zdhhc16
ENSMUSG00000018287|Spag7
ENSMUSG00000031781|Ciapin1
ENSMUSG00000020832|Eral1
ENSMUSG00000020464|Pnpt1
ENSMUSG00000051169|Rpusd3
