ENSMUSG00000020176|Grb10
ENSMUSG00000020886|Dlg4
ENSMUSG00000030987|Stim1
ENSMUSG00000020893|Per1
ENSMUSG00000024187|Fam234a
ENSMUSG00000033295|Ptprf
ENSMUSG00000001521|Tulp3
ENSMUSG00000027340|Slc23a2
ENSMUSG00000040451|Sgms1
ENSMUSG00000029913|Prdm5
