ENSMUSG00000021905|Dph3
ENSMUSG00000021520|Uqcrb
ENSMUSG00000032459|Mrps22
ENSMUSG00000063694|Cycs
ENSMUSG00000016757|Ttll12
ENSMUSG00000034259|Exosc4
ENSMUSG00000044573|Acp1
ENSMUSG00000053604|Rpia
ENSMUSG00000047879|Usp14
ENSMUSG00000018189|Uchl5
