ENSMUSG00000031370|Zrsr2
ENSMUSG00000007739|Cct4
ENSMUSG00000028455|Stoml2
ENSMUSG00000021764|Ndufs4
ENSMUSG00000024359|Hspa9
ENSMUSG00000028016|Ints12
ENSMUSG00000027671|Actl6a
ENSMUSG00000001569|Nom1
ENSMUSG00000024844|Banf1
ENSMUSG00000040269|Mrps28
