ENSMUSG00000039886|Tmem120a
ENSMUSG00000014402|Tsg101
ENSMUSG00000073639|Rab18
ENSMUSG00000047921|Trappc9
ENSMUSG00000062825|Actg1
ENSMUSG00000074781|Ube2n
ENSMUSG00000021262|Evl
ENSMUSG00000029472|Anapc5
ENSMUSG00000007564|Ppp2r1a
ENSMUSG00000025104|Hdgfl3
