ENSMUSG00000044709|Gemin7
ENSMUSG00000078201|Tmem203
ENSMUSG00000023026|Dip2b
ENSMUSG00000010392|Gosr1
ENSMUSG00000030779|Rbbp6
ENSMUSG00000015363|Trabd
ENSMUSG00000041354|Rgl2
ENSMUSG00000024983|Vti1a
ENSMUSG00000001098|Kctd10
ENSMUSG00000031758|Cdyl2
