ENSMUSG00000068747|Sort1
ENSMUSG00000037416|Dmxl1
ENSMUSG00000068040|Tm9sf4
ENSMUSG00000037896|Rcor1
ENSMUSG00000040481|Bptf
ENSMUSG00000100680|1810044D09Rik
ENSMUSG00000027365|Trpm7
ENSMUSG00000041852|Tcf20
ENSMUSG00000004568|Arhgef18
ENSMUSG00000038095|Sbno1
