ENSMUSG00000024018|Ccdc167
ENSMUSG00000023088|Abcc1
ENSMUSG00000014294|Ndufa2
ENSMUSG00000028890|Mtf1
ENSMUSG00000031393|Mecp2
ENSMUSG00000026342|Slc35f5
ENSMUSG00000031534|Smim19
ENSMUSG00000036199|Ndufa13
ENSMUSG00000047473|Zfp30
ENSMUSG00000025512|Chid1
