ENSMUSG00000036181|Hist1h1c
ENSMUSG00000022021|Diaph3
ENSMUSG00000028251|Tstd3
ENSMUSG00000002396|Ocel1
ENSMUSG00000000056|Narf
ENSMUSG00000073155|1810058I24Rik
ENSMUSG00000019979|Apaf1
ENSMUSG00000035674|Ndufa3
ENSMUSG00000030611|Mrps11
ENSMUSG00000021496|Pcbd2
