ENSMUSG00000060636|Rpl35a
ENSMUSG00000002233|Rhoc
ENSMUSG00000093661|Eif4e3
ENSMUSG00000050936|Gm42743
ENSMUSG00000002602|Axl
ENSMUSG00000032536|Trak1
ENSMUSG00000048706|Lurap1l
ENSMUSG00000030722|Nfatc2ip
ENSMUSG00000059013|Sh2d3c
ENSMUSG00000026819|Slc25a25
