ENSMUSG00000068874|Selenbp1
ENSMUSG00000000031|H19
ENSMUSG00000018574|Acadvl
ENSMUSG00000019139|Isyna1
ENSMUSG00000022490|Ppp1r1a
ENSMUSG00000007097|Atp1a2
ENSMUSG00000015090|Ptgds
ENSMUSG00000029335|Bmp3
ENSMUSG00000028944|Prkag2
ENSMUSG00000026433|Rab29
