ENSMUSG00000022394|L3mbtl2
ENSMUSG00000031878|Nae1
ENSMUSG00000052533|Nup188
ENSMUSG00000006289|Osgep
ENSMUSG00000027566|Psma7
ENSMUSG00000052456|Asna1
ENSMUSG00000038299|Wdr36
ENSMUSG00000021178|Psmc1
ENSMUSG00000062797|Hikeshi
ENSMUSG00000022570|Tsta3
