ENSMUSG00000028007|Snx7
ENSMUSG00000039145|Camk1d
ENSMUSG00000054091|1810037I17Rik
ENSMUSG00000035133|Arhgap5
ENSMUSG00000003934|Efnb3
ENSMUSG00000038473|Nos1ap
ENSMUSG00000022098|Bmp1
ENSMUSG00000026730|Pter
ENSMUSG00000027257|Pacsin3
ENSMUSG00000007888|Crlf1
