ENSMUSG00000083282|Ctsf
ENSMUSG00000015745|Plekho1
ENSMUSG00000033857|Engase
ENSMUSG00000006527|Sfmbt1
ENSMUSG00000038393|Txnip
ENSMUSG00000022177|Haus4
ENSMUSG00000021948|Prkcd
ENSMUSG00000029713|Gnb2
ENSMUSG00000025283|Sat1
ENSMUSG00000036948|BC037034
