ENSMUSG00000034220|Gpc1
ENSMUSG00000049295|Zfp219
ENSMUSG00000030257|Srgap3
ENSMUSG00000068115|Ninl
ENSMUSG00000026556|Vangl2
ENSMUSG00000044768|D1Ertd622e
ENSMUSG00000021364|Elovl2
ENSMUSG00000022382|Wnt7b
ENSMUSG00000062727|Hist1h2bk
ENSMUSG00000021572|Cep72
