ENSMUSG00000028397|Kdm4c
ENSMUSG00000035900|Gramd4
ENSMUSG00000025451|Paip1
ENSMUSG00000029557|Mrm2
ENSMUSG00000030960|Eef1akmt2
ENSMUSG00000031327|Chic1
ENSMUSG00000046603|Tcaim
ENSMUSG00000094441|Zfp955a
ENSMUSG00000003575|Crtc1
ENSMUSG00000030061|Uba3
