ENSMUSG00000037235|Mxd4
ENSMUSG00000028479|Gne
ENSMUSG00000042348|Arl15
ENSMUSG00000035354|Uvrag
ENSMUSG00000027523|Gnas
ENSMUSG00000036281|Snapc4
ENSMUSG00000022475|Hdac7
ENSMUSG00000071076|Jund
ENSMUSG00000019718|L3hypdh
ENSMUSG00000020571|Pdia6
