ENSMUSG00000036817|Sun1
ENSMUSG00000020738|Sumo2
ENSMUSG00000053483|Usp21
ENSMUSG00000038518|Jarid2
ENSMUSG00000034300|Fam53c
ENSMUSG00000026860|Sh3glb2
ENSMUSG00000052395|Rft1
ENSMUSG00000041491|Cep78
ENSMUSG00000010609|Psen2
ENSMUSG00000042508|Dmtf1
