ENSMUSG00000036975|Tmem177
ENSMUSG00000037443|Cep85
ENSMUSG00000030095|Tmem43
ENSMUSG00000020752|Recql5
ENSMUSG00000039298|Cdk5rap2
ENSMUSG00000040359|Ufl1
ENSMUSG00000061979|Rcc1l
ENSMUSG00000037343|Taf2
ENSMUSG00000037725|Ckap2
ENSMUSG00000068101|Cenpm
