ENSMUSG00000022827|Rabl3
ENSMUSG00000025280|Polr3a
ENSMUSG00000038506|Dcun1d2
ENSMUSG00000039483|Asb6
ENSMUSG00000043683|Fem1a
ENSMUSG00000025377|Tepsin
ENSMUSG00000032589|Bsn
ENSMUSG00000034544|Rsrc1
ENSMUSG00000027300|Ubox5
ENSMUSG00000037525|Bcdin3d
