ENSMUSG00000075266|Cenpw
ENSMUSG00000096210|H1f0
ENSMUSG00000022708|Zbtb20
ENSMUSG00000055835|Zfp1
ENSMUSG00000039219|Arid4b
ENSMUSG00000071256|Zfp213
ENSMUSG00000025220|Mgea5
ENSMUSG00000026641|Usf1
ENSMUSG00000070923|Klhl9
ENSMUSG00000049804|Armcx4
