ENSMUSG00000027363|Usp8
ENSMUSG00000024811|Tnks2
ENSMUSG00000005198|Polr2a
ENSMUSG00000030397|Mark4
ENSMUSG00000063410|Stk24
ENSMUSG00000040940|Arhgef1
ENSMUSG00000000378|Ccm2
ENSMUSG00000108866|Gm35082
ENSMUSG00000099681|1700052K11Rik
ENSMUSG00000037706|Cd81
