ENSMUSG00000001120|Pcbp3
ENSMUSG00000024743|Syt7
ENSMUSG00000024955|Esrra
ENSMUSG00000004151|Etv1
ENSMUSG00000050272|Dscam
ENSMUSG00000030209|Grin2b
ENSMUSG00000021198|Unc79
ENSMUSG00000056296|Synpr
ENSMUSG00000046442|Ppm1e
ENSMUSG00000052572|Dlg2
