ENSMUSG00000071669|Snx29
ENSMUSG00000054792|Klhl18
ENSMUSG00000022898|Dscr3
ENSMUSG00000057554|Lgals8
ENSMUSG00000044881|Coa4
ENSMUSG00000028104|Polr3gl
ENSMUSG00000034593|Myo5a
ENSMUSG00000002326|Gmpr2
ENSMUSG00000038127|Ccdc50
ENSMUSG00000063931|Pepd
