ENSMUSG00000048330|Ric3
ENSMUSG00000078676|Casc3
ENSMUSG00000027285|Haus2
ENSMUSG00000064302|Clasp1
ENSMUSG00000017831|Rab5a
ENSMUSG00000031487|Brf2
ENSMUSG00000018999|Slc35b4
ENSMUSG00000034826|Nup54
ENSMUSG00000042502|Cd2bp2
ENSMUSG00000047866|Lonp2
