ENSMUSG00000048285|Frmd6
ENSMUSG00000034485|Uaca
ENSMUSG00000034520|Gjc1
ENSMUSG00000026923|Notch1
ENSMUSG00000042225|Ammecr1
ENSMUSG00000042272|Sestd1
ENSMUSG00000043602|Zfp3
ENSMUSG00000044792|Isca1
ENSMUSG00000017314|Mpp2
ENSMUSG00000028005|Gucy1b1
