ENSMUSG00000020458|Rtn4
ENSMUSG00000020536|Llgl1
ENSMUSG00000038481|Cdk19
ENSMUSG00000073643|Wdfy1
ENSMUSG00000026074|Map4k4
ENSMUSG00000031605|Klhl2
ENSMUSG00000021670|Hmgcr
ENSMUSG00000032086|Bace1
ENSMUSG00000001687|Ubl3
ENSMUSG00000051615|Rap2a
