ENSMUSG00000045624|Esf1
ENSMUSG00000031711|Zfp330
ENSMUSG00000029624|Ptcd1
ENSMUSG00000028633|Ctps
ENSMUSG00000041153|Osgin2
ENSMUSG00000020430|Pes1
ENSMUSG00000060121|Gemin2
ENSMUSG00000053289|Ddx10
ENSMUSG00000035595|1600002K03Rik
ENSMUSG00000038736|Nudcd1
