ENSMUSG00000021731|Mrps30
ENSMUSG00000035027|Map2k2
ENSMUSG00000035530|Eif1
ENSMUSG00000051730|Mettl5
ENSMUSG00000004748|Mtfp1
ENSMUSG00000035049|Rrp12
ENSMUSG00000021607|Mrpl36
ENSMUSG00000030612|Mrpl46
ENSMUSG00000014633|Cmc2
ENSMUSG00000014504|Srp19
