ENSMUSG00000032897|Nfyc
ENSMUSG00000054309|Cpsf3
ENSMUSG00000037007|Zfp113
ENSMUSG00000020982|Nemf
ENSMUSG00000028675|Pnrc2
ENSMUSG00000027620|Rbm39
ENSMUSG00000026662|Sephs1
ENSMUSG00000024135|Srbd1
ENSMUSG00000048109|Rbm15
ENSMUSG00000024878|Cbwd1
