ENSMUSG00000026455|Klhl12
ENSMUSG00000025169|Ogfod3
ENSMUSG00000058192|Zfp846
ENSMUSG00000069208|Zfp825
ENSMUSG00000037656|Slc20a2
ENSMUSG00000015575|Atp6v0e
ENSMUSG00000024963|Dnajc4
ENSMUSG00000013833|Med16
ENSMUSG00000038446|Cdc40
ENSMUSG00000050821|Fam131a
