ENSMUSG00000057329|Bcl2
ENSMUSG00000087131|Gm16152
ENSMUSG00000058254|Tspan7
ENSMUSG00000031963|Bmper
ENSMUSG00000022899|Slc15a2
ENSMUSG00000034066|Farp2
ENSMUSG00000028086|Fbxw7
ENSMUSG00000041958|Pigs
ENSMUSG00000026384|Ptpn4
ENSMUSG00000062991|Nrg1
