ENSMUSG00000025232|Hexa
ENSMUSG00000027533|Fabp5
ENSMUSG00000022558|Mroh1
ENSMUSG00000003546|Klc4
ENSMUSG00000007458|M6pr
ENSMUSG00000021242|Npc2
ENSMUSG00000003363|Pld3
ENSMUSG00000026958|Dpp7
ENSMUSG00000034708|Grn
ENSMUSG00000028646|Rragc
