ENSMUSG00000023030|Slc11a2
ENSMUSG00000032519|Slc25a38
ENSMUSG00000040767|Snrnp25
ENSMUSG00000040356|Skiv2l
ENSMUSG00000023939|Mrpl14
ENSMUSG00000011257|Pabpc4
ENSMUSG00000026688|Mgst3
ENSMUSG00000023307|March5
ENSMUSG00000026869|Psmd5
ENSMUSG00000028393|Alad
