ENSMUSG00000043004|Gng2
ENSMUSG00000052852|Reep1
ENSMUSG00000001248|Gramd1a
ENSMUSG00000047261|Gap43
ENSMUSG00000058966|Fam57b
ENSMUSG00000038605|Samd10
ENSMUSG00000045174|Amer3
ENSMUSG00000048895|Cdk5r1
ENSMUSG00000008489|Elavl2
ENSMUSG00000032181|Scg3
