ENSMUSG00000040653|Ppp1r14c
ENSMUSG00000025791|Pgm2
ENSMUSG00000007122|Casq1
ENSMUSG00000050503|Fbxl22
ENSMUSG00000021373|Cap2
ENSMUSG00000003955|Fam162a
ENSMUSG00000055447|Cd47
ENSMUSG00000026547|Tagln2
ENSMUSG00000001870|Ltbp1
ENSMUSG00000042106|Fam212a
