ENSMUSG00000086350|B230369F24Rik
ENSMUSG00000020107|Anapc16
ENSMUSG00000037857|Nufip2
ENSMUSG00000038429|Usp5
ENSMUSG00000033075|Senp1
ENSMUSG00000029524|Sirt4
ENSMUSG00000048787|Dcun1d3
ENSMUSG00000090622|A930033H14Rik
ENSMUSG00000081534|Slc48a1
ENSMUSG00000048039|Isg20l2
