ENSMUSG00000056145|AI504432
ENSMUSG00000039384|Dusp10
ENSMUSG00000026202|Tuba4a
ENSMUSG00000050965|Prkca
ENSMUSG00000021868|Ppif
ENSMUSG00000048376|F2r
ENSMUSG00000046722|Cdc42se1
ENSMUSG00000024378|Stard4
ENSMUSG00000020611|Gna13
ENSMUSG00000059811|Atl2
