ENSMUSG00000039220|Ppp1r10
ENSMUSG00000027291|Vps39
ENSMUSG00000035062|Zc4h2
ENSMUSG00000038039|Gcc2
ENSMUSG00000032870|Smap2
ENSMUSG00000036985|Zdhhc9
ENSMUSG00000021578|Ccdc127
ENSMUSG00000038056|Kmt2c
ENSMUSG00000038369|Ncoa6
ENSMUSG00000038324|Trpc4ap
